연도,주차,연령대,입원환자 수
2019,36,65세이상,2
2019,37,65세이상,1
2019,38,65세이상,3
2019,39,65세이상,5
2019,40,65세이상,4
2019,41,65세이상,5
2019,42,65세이상,10
2019,43,65세이상,12
2019,44,65세이상,22
2019,45,65세이상,5
2019,46,65세이상,20
2019,47,65세이상,15
2019,48,65세이상,21
2019,49,65세이상,29
2019,50,65세이상,102
2019,51,65세이상,192
2019,52,65세이상,267
2019,53,65세이상,267
2020,1,65세이상,377
2020,2,65세이상,475
2020,3,65세이상,484
2020,4,65세이상,387
2020,5,65세이상,380
2020,6,65세이상,217
2020,7,65세이상,99
2020,8,65세이상,50
2020,9,65세이상,30
2020,10,65세이상,11
2020,11,65세이상,14
2020,12,65세이상,10
2020,13,65세이상,5
2020,14,65세이상,2
2020,15,65세이상,3
2020,16,65세이상,5
2020,17,65세이상,4
2020,18,65세이상,4
2020,19,65세이상,5
2020,20,65세이상,4
2020,21,65세이상,3
2020,22,65세이상,1
2020,23,65세이상,3
2020,24,65세이상,2
2020,25,65세이상,2
2020,26,65세이상,1
2020,27,65세이상,4
2020,28,65세이상,1
2020,29,65세이상,3
2020,30,65세이상,1
2020,31,65세이상,4
2020,32,65세이상,3
2020,33,65세이상,2
2020,34,65세이상,0
2020,35,65세이상,1
2019,36,50-64세,0
2019,37,50-64세,1
2019,38,50-64세,5
2019,39,50-64세,0
2019,40,50-64세,2
2019,41,50-64세,2
2019,42,50-64세,7
2019,43,50-64세,1
2019,44,50-64세,5
2019,45,50-64세,7
2019,46,50-64세,5
2019,47,50-64세,12
2019,48,50-64세,16
2019,49,50-64세,33
2019,50,50-64세,62
2019,51,50-64세,134
2019,52,50-64세,187
2019,53,50-64세,187
2020,1,50-64세,248
2020,2,50-64세,260
2020,3,50-64세,224
2020,4,50-64세,215
2020,5,50-64세,219
2020,6,50-64세,73
2020,7,50-64세,45
2020,8,50-64세,14
2020,9,50-64세,8
2020,10,50-64세,6
2020,11,50-64세,3
2020,12,50-64세,3
2020,13,50-64세,4
2020,14,50-64세,1
2020,15,50-64세,4
2020,16,50-64세,2
2020,17,50-64세,5
2020,18,50-64세,1
2020,19,50-64세,1
2020,20,50-64세,1
2020,21,50-64세,1
2020,22,50-64세,1
2020,23,50-64세,3
2020,24,50-64세,0
2020,25,50-64세,0
2020,26,50-64세,0
2020,27,50-64세,1
2020,28,50-64세,0
2020,29,50-64세,1
2020,30,50-64세,0
2020,31,50-64세,0
2020,32,50-64세,1
2020,33,50-64세,2
2020,34,50-64세,1
2020,35,50-64세,1
2019,36,19-49세,1
2019,37,19-49세,2
2019,38,19-49세,1
2019,39,19-49세,1
2019,40,19-49세,6
2019,41,19-49세,7
2019,42,19-49세,10
2019,43,19-49세,13
2019,44,19-49세,8
2019,45,19-49세,10
2019,46,19-49세,20
2019,47,19-49세,29
2019,48,19-49세,41
2019,49,19-49세,75
2019,50,19-49세,122
2019,51,19-49세,177
2019,52,19-49세,300
2019,53,19-49세,300
2020,1,19-49세,390
2020,2,19-49세,372
2020,3,19-49세,256
2020,4,19-49세,208
2020,5,19-49세,204
